feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
175481|Henderson Gulch|Valley|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|11/21/2018||||390714N|1072520W|39.1204442|-107.4222055|390620N|1072916W|39.1056697|-107.4876812
175482|Little Henderson Creek|Stream|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|||||390705N|1072514W|39.1180411|-107.4206089|390616N|1072954W|39.1044444|-107.4983333
175483|Foote Draw|Valley|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|11/21/2018||||390620N|1072440W|39.1054466|-107.4112356|390551N|1072652W|39.0975404|-107.4478881
175484|Sheep Mountain|Summit|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|11/21/2018||||390520N|1072702W|39.0888913|-107.4504273|||0.0|0.0
175485|Aspen Leaf Reservoir|Reservoir|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|10/14/2024||||390515N|1072555W|39.08755|-107.43184|||0.0|0.0
175487|Patterson Place|Populated Place|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|06/07/2022||||390650N|1072503W|39.1138746|-107.4175533|||0.0|0.0
175489|Pilot Knob|Summit|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|11/21/2018||||390044N|1072800W|39.0121321|-107.4667345|||0.0|0.0
175490|Bark Basin|Basin|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|||||390148N|1072608W|39.0299877|-107.4356094|||0.0|0.0
175491|Buzzard Creek|Stream|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|||||390014N|1072233W|39.0038778|-107.3758858|385948N|1072551W|38.9966553|-107.4308872
175492|Floating Lake|Lake|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|02/06/2019||||390054N|1072653W|39.0150827|-107.4481271|||0.0|0.0
175494|Ault Creek|Stream|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|||||390232N|1072521W|39.0422097|-107.4225535|390459N|1072709W|39.0830556|-107.4525
175495|Bull Mountain|Summit|Colorado|08|Gunnison|051|Bull Mountain|10/13/1978|11/21/2018||||390327N|1072345W|39.0574145|-107.3959401|||0.0|0.0
175496|Chair Creek|Stream|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390543N|1071517W|39.0952654|-107.2547725|390346N|1071657W|39.0627778|-107.2825
175497|Chair Creek|Stream|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390617N|1072057W|39.1047087|-107.3492187|390557N|1071706W|39.0991667|-107.285
175498|Rapid Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390505N|1071430W|39.0847101|-107.2417166|390148N|1071541W|39.0299891|-107.2614388
175499|Deep Creek|Stream|Colorado|08|Gunnison|051|Paonia Reservoir|10/13/1978|||||385717N|1072001W|38.9547123|-107.3336633|390033N|1071424W|39.0091564|-107.2400494
175500|Tomahawk Reservoir|Reservoir|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|02/06/2019||||390042N|1071828W|39.0116935|-107.3078116|||0.0|0.0
175503|Buck Creek Basin|Basin|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390310N|1071730W|39.0527661|-107.2917174|||0.0|0.0
175504|Grouse Creek|Stream|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390505N|1072145W|39.0847091|-107.3625522|390504N|1071800W|39.0844444|-107.3
175505|Buck Creek|Stream|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390252N|1072142W|39.0477657|-107.3617189|390253N|1071715W|39.0480556|-107.2875
175506|Spring Creek|Stream|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390120N|1072144W|39.0222107|-107.3622744|390154N|1071702W|39.0316667|-107.2838889
175509|Dugout Creek|Stream|Colorado|08|Gunnison|051|Paonia Reservoir|10/13/1978|||||385935N|1072107W|38.9930449|-107.3519965|390100N|1071820W|39.0166558|-107.3056065
175510|Williams Creek|Stream|Colorado|08|Gunnison|051|Paonia Reservoir|10/13/1978|||||385823N|1072008W|38.9730454|-107.3356075|390112N|1071630W|39.0199893|-107.2750502
175511|The Raggeds|Cliff|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|||||390155N|1071707W|39.0319333|-107.2853283|||0.0|0.0
175512|Deadman Gulch|Valley|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|12/21/2017||||390008N|1072204W|39.002281|-107.3676722|385908N|1072436W|38.9855271|-107.4101285
175513|Chair Mountain|Summit|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|11/08/2018||||390328N|1071655W|39.0579044|-107.2820262|||0.0|0.0
175514|Ragged Peak|Summit|Colorado|08|Gunnison|051|Chair Mountain|10/13/1978|11/08/2018||||390211N|1071654W|39.036516|-107.2817257|||0.0|0.0
175515|North Fork Lost Trail Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390437N|1070846W|39.0769329|-107.1461593|390559N|1070630W|39.0997103|-107.1083808
175516|Lost Trail Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390409N|1071013W|39.0691553|-107.1703263|390426N|1070628W|39.0738776|-107.1078252
175517|Lily Lake|Lake|Colorado|08|Gunnison|051|Marble|10/13/1978|02/06/2019||||390533N|1071431W|39.0924737|-107.2420412|||0.0|0.0
175518|Flogus Pond|Lake|Colorado|08|Gunnison|051|Marble|10/13/1978|02/06/2019||||390608N|1071444W|39.1022165|-107.2455504|||0.0|0.0
175519|Elk Mountain|Summit|Colorado|08|Gunnison|051|Marble|10/13/1978|07/10/2019||||390611N|1071154W|39.1031702|-107.1982229|||0.0|0.0
175520|Avalanche Pass|Gap|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390641N|1070838W|39.1113766|-107.143937|||0.0|0.0
175521|Slate Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390419N|1071221W|39.0719328|-107.2058825|390527N|1071146W|39.0908333|-107.1961111
175523|Carbonate Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390409N|1071113W|39.0691552|-107.1869933|390633N|1080859W|39.1091471|-108.1497994
175525|Island Lake|Lake|Colorado|08|Gunnison|051|Marble|10/13/1978|02/06/2019||||390433N|1071324W|39.0759079|-107.2233258|||0.0|0.0
175526|Milton Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390429N|1071314W|39.0747104|-107.220605|390137N|1071421W|39.0269444|-107.2391667
175527|Mount Daly|Summit|Colorado|08|Gunnison|051|Marble|10/13/1978|02/25/2020||||390612N|1070901W|39.1033521|-107.1502013|||0.0|0.0
175528|Gallo Hill|Slope|Colorado|08|Gunnison|051|Marble|10/13/1978|01/05/2021||||390523N|1071159W|39.0897102|-107.1997714|||0.0|0.0
175530|Beaver Lake|Reservoir|Colorado|08|Gunnison|051|Marble|10/13/1978|02/06/2019||||390416N|1071047W|39.0710404|-107.1796986|||0.0|0.0
175531|Marble|Populated Place|Colorado|08|Gunnison|051|Marble|10/13/1978|06/07/2022||||390420N|1071120W|39.0722106|-107.1889377|||0.0|0.0
175533|Daniels Hill|Slope|Colorado|08|Gunnison|051|Marble|10/13/1978|12/20/2018||||390423N|1070959W|39.0730441|-107.1664373|||0.0|0.0
175534|Hat Mountain|Summit|Colorado|08|Gunnison|051|Marble|10/13/1978|07/10/2019||||390413N|1070927W|39.0701936|-107.1576022|||0.0|0.0
175535|Lizard Lake|Lake|Colorado|08|Gunnison|051|Marble|10/13/1978|02/06/2019||||390416N|1070916W|39.0711136|-107.154548|||0.0|0.0
175537|Ragged Mountain|Summit|Colorado|08|Gunnison|051|Marble|10/13/1978|07/10/2019||||390113N|1071408W|39.0203445|-107.2355301|||0.0|0.0
175538|North Anthracite Creek|Stream|Colorado|08|Gunnison|051|Marcellina Mountain|10/13/1978|||||385715N|1071152W|38.9541577|-107.1978272|390032N|1071355W|39.0088787|-107.2319938
175539|Mount Justice|Summit|Colorado|08|Gunnison|051|Marble|10/13/1978|07/10/2019||||390047N|1071013W|39.0129506|-107.1702738|||0.0|0.0
175540|Thompson Flat|Flat|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390112N|1070930W|39.0199898|-107.1583815|||0.0|0.0
175543|Yule Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390405N|1071041W|39.0680442|-107.1781042|390006N|1070607W|39.0016571|-107.1019917
175544|Whitehouse Mountain|Summit|Colorado|08|Gunnison|051|Marble|10/13/1978|02/25/2020||||390305N|1070915W|39.0513717|-107.1542044|||0.0|0.0
175546|Anthracite Pass|Gap|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390158N|1071049W|39.0327672|-107.1803263|||0.0|0.0
175547|Buckskin Basin|Basin|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390606N|1070822W|39.1016546|-107.1394925|||0.0|0.0
175549|Raspberry Creek|Stream|Colorado|08|Gunnison|051|Marble|10/13/1978|||||390419N|1071320W|39.0719327|-107.2222717|390201N|1071151W|39.0336111|-107.1975
175550|Mud Gulch|Valley|Colorado|08|Gunnison|051|Marble|10/13/1978|10/20/2017||||390237N|1071022W|39.0434981|-107.1727596|390212N|1071106W|39.0367695|-107.1849678
175551|Snowmass Lake|Lake|Colorado|08|Pitkin|097|Snowmass Mountain|10/13/1978|02/06/2019||||390701N|1070204W|39.1170536|-107.0345167|||0.0|0.0
175552|Siberia Lake|Lake|Colorado|08|Pitkin|097|Snowmass Mountain|10/13/1978|02/06/2019||||390715N|1070445W|39.1208238|-107.0792555|||0.0|0.0
175553|Snowmass Peak|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390640N|1070321W|39.1109983|-107.0559489|||0.0|0.0
175554|Hagerman Peak|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020|Official|Board Decision|01/01/1961|390643N|1070336W|39.1118211|-107.0600384|||0.0|0.0
175555|Snowmass Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390707N|1070359W|39.1186541|-107.0664035|||0.0|0.0
175556|Trail Rider Pass|Gap|Colorado|08|Pitkin|097|Snowmass Mountain|10/13/1978|08/23/2013||||390617N|1070256W|39.1046886|-107.0489359|||0.0|0.0
175557|Mount Richey|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390703N|1070716W|39.1174648|-107.1210184|||0.0|0.0
175558|Little Gem Lake|Lake|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/06/2019||||390643N|1070452W|39.1120607|-107.0811203|||0.0|0.0
175559|Meadow Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390600N|1070603W|39.1000652|-107.1009143|||0.0|0.0
